,id,item_number,description,vendor_name,stock_units,inventory_value,unit_cost,del_time,order_frequency_days,qty_unit_cd,inv_class_cd,service_level,purchasing_method,min,max,comment,movement_last_year,usage_last_year,movement_two_year,usage_two_year,movement_three_year,usage_three_year
54,1168,1308,Bulb,"The Boeing Comp, Spare Dist Cent",637.0000,0.000000,0.00,11,100.0,EA,BATCH,,,,,,6,55,6,42,2,25
55,1169,1355-1363-695,PACKING,Woodward Inc.,5.0000,45.000000,9.00,11,10.0,EA,BATCH,,min-max,1.0,2.0,CFM_LEAP Engine RSPL,0,0,0,0,0,0
56,1210,043046,FILTER,"The Boeing Comp, Spare Dist Cent",9.0000,711.000000,79.00,23,10.0,EA,BATCH,,,,,,23,40,9,11,0,0
57,1268,0LN115-18K,Lamp    Electrical,Boeing Distribution Services INC. (KLX),42.0000,139.999860,3.33,30,10.0,EA,BATCH,,,,,,5,35,2,20,5,18
58,1274,150B,Filter  Filter Cartridge,LEKI Aviation,20.0000,470.000000,23.50,26,10.0,EA,BATCH,,,,,,16,28,24,47,22,40
59,1291,11904008,Jakket Id-8p,Seattle Aviation Solutions LLC,4.0000,240.000000,60.00,14,10.0,PK,BATCH,,,,,,1,1,0,0,9,12
60,1296,1A296-0217HS,Cover Backrest,Satair A/S,1.0000,1304.000000,1304.00,23,10.0,EA,BATCH,,,,,,11,4,0,0,0,0
61,1336,032757,RING,"Boeing Distribution, Inc (Aviall)",5.0000,245.000000,49.00,10,10.0,EA,BATCH,,,,,,24,43,10,10,0,0
62,1362,15-0188-7,Light Ay Ceiling  Cargo Lwr Lobe,"The Boeing Comp, Spare Dist Cent",4.0000,1074.400000,268.60,52,10.0,EA,BATCH,,,,,,1,1,5,1,2,2
63,1388,1294-2-2,LIGHT in use,Hansair Logistics GmbH,10.0000,1640.000000,164.00,121,10.0,EA,BATCH,,min-max,5.0,10.0,,0,0,0,0,0,0
64,1426,1705M42P03,SHROUD,CFM International,1.0000,545.000000,545.00,20,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
65,1471,1509M55P02,STRIP,PDQ Air Spares Ltd.,35.0000,10325.000000,295.00,8,10.0,EA,BATCH,,min-max,10.0,50.0,,0,0,0,0,0,0
66,1483,113-133,"Guide, Spring",Goodrich Corporation,51.0000,204.000000,4.00,34,10.0,EA,BATCH,,,,,,19,-7,9,42,0,0
67,1503,13206-001,Module,"Unical Aviation, Inc.",5.0000,1875.000000,375.00,19,10.0,EA,BATCH,,,,,,7,10,5,7,11,13
68,1520,134-366-1,Rotor,Goodrich Corporation,9.0000,14769.000000,1641.00,69,10.0,EA,BATCH,,,,,,19,21,18,17,14,17
69,1534,1326-8043,ELEMENT,"The Boeing Comp, Spare Dist Cent",3.0000,8613.000000,2871.00,52,10.0,EA,BATCH,,min-max,2.0,6.0,CFM_LEAP Engine RSPL,1,1,1,2,1,2
70,1535,1355-091,PACKING,Woodward Inc.,5.0000,55.000000,11.00,11,10.0,EA,BATCH,,min-max,1.0,3.0,CFM_LEAP Engine RSPL,0,0,0,0,0,0
71,1556,108FR-48,BLACK CARPET TAPE,Kiepura Aviation Corporation,9.0000,180.000000,20.00,30,10.0,RL,BATCH,,,,,,3,12,6,27,0,0
72,1635,1326-1140,BOWL,Woodward Inc.,1.0000,12194.000000,12194.00,17,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
73,1655,1416086,Vinegar B00636,Tandur,960.0000,960.000000,1.00,23,100.0,LI,BATCH,,,,,,13,3600,17,3600,20,2100
74,1677,2024T3-040,Aluminum Aluminum Sheet,Future Metals LLC Europa Division,43.0000,344.000000,8.00,92,10.0,SF,BATCH,,,,,,5,42,3,19,5,58
75,1698,1764227,HEAD ASSY,"The Boeing Comp, Spare Dist Cent",1.0000,3650.000000,3650.00,23,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
76,1723,2-110V747-75,Seal,"Proponent , INC. (Kapco)",31.0000,0.000000,0.00,10,10.0,EA,BATCH,,,,,,23,46,37,89,3,8
77,1725,13963-001,Holder  Lamp Holder,Wencor West,3.0000,262.500000,87.50,30,10.0,EA,BATCH,,,,,,6,7,5,6,3,4
78,1797,20-520WA,Pin     Wear Indicator (Pma),Goodrich Corporation,121.0000,1149.500000,9.50,29,10.0,EA,BATCH,,,,,,51,124,30,66,21,46
79,1799,2-132N602-70,Packing,"Proponent , INC. (Kapco)",29.0000,0.000000,0.00,60,100.0,EA,BATCH,,,,,,4,19,8,31,12,46
80,1883,16202-027,Valve   Valve-Mushroom,Safran Aerosystems Services,34.0000,442.000000,13.00,35,10.0,EA,BATCH,,,,,,7,24,3,9,4,25
81,1887,1864,Bulb,"Proponent , INC. (Kapco)",423.0000,0.000000,0.00,24,100.0,EA,BATCH,,,,,,18,127,11,109,7,241
82,1901,1646B,Ftg     Rudder And Trunnion,"The Boeing Comp, Spare Dist Cent",36.0000,47.999880,1.33,37,10.0,EA,BATCH,,,,,,4,17,1,1,2,1
83,1902,1728B,Fitting Lube  Nose Landing G,"The Boeing Comp, Spare Dist Cent",662.0000,331.000000,0.50,36,100.0,EA,BATCH,,,,,,13,399,12,800,17,544
84,1926,16302-006,Gasket Gasket-Sensor,"The Boeing Comp, Spare Dist Cent",16.0000,400.000000,25.00,27,10.0,EA,BATCH,,,,,,2,3,8,20,5,16
85,1943,114T0220-20,HINGE ASSY,"Unical Aviation, Inc.",2.0000,1788.000000,894.00,52,10.0,EA,BATCH,,min-max,2.0,2.0,AOG 767,0,0,0,0,0,0
86,1945,123E1520,"Insulation Blanket below cabin floor (1.5"" thick 20"" wide 50 FT per Box)","Proponent , INC. (Kapco)",627.0000,12540.000000,20.00,29,10.0,FT,BATCH,,,,,,5,473,0,0,4,500
87,1962,130-18,Ball    Add Info,Goodrich Corporation,78.0000,1170.000000,15.00,69,10.0,EA,BATCH,,,,,,15,90,14,68,2,18
88,1978,130-17,Ball    Main Brake Assy,Goodrich Corporation,9.0000,225.000000,25.00,31,10.0,EA,BATCH,,,,,,5,33,6,40,6,33
89,1979,1327M20G01,Clip,"GE Aviation Materials, Inc.",7.0000,1505.000000,215.00,11,10.0,EA,BATCH,,min-max,2.0,8.0,,0,0,0,0,0,0
90,1989,140T2410-22,Clip Spring  Retainer  Pass Wdo,"The Boeing Comp, Spare Dist Cent",26.0000,572.000000,22.00,8,10.0,EA,BATCH,,min-max,10.0,20.0,MAX Boeing RSPL,0,0,3,3,0,0
91,1996,1391-0243,PACKING,Woodward Inc.,9.0000,693.000000,77.00,141,10.0,EA,BATCH,,min-max,2.0,4.0,CFM_LEAP Engine RSPL,1,1,2,4,0,0
92,2087,1385,Bulb,Boeing Distribution Services INC. (KLX),121.0000,121.000000,1.00,16,100.0,EA,BATCH,,,,,,4,3,3,1,4,19
93,2123,114T4226-6,SEAL,"The Boeing Comp, Spare Dist Cent",2.0000,579.000000,289.50,11,10.0,EA,BATCH,,min-max,2.0,2.0,,4,6,0,0,3,6
94,2131,11-6557-5B,Bezel Bezel Assy,"Boeing Distribution, Inc (Aviall)",3.0000,594.000000,198.00,70,10.0,EA,BATCH,,,,,,3,3,5,8,1,1
95,2203,16292,Retainer Discharger  Wing Tip,"Boeing Distribution, Inc (Aviall)",4.0000,104.000000,26.00,24,10.0,EA,BATCH,,,,,,2,2,5,4,4,5
96,2235,132050180,ISOPROPANOL ALCOHOL,Olís ehf,84.0000,504.000000,6.00,34,10.0,LI,BATCH,,,,,"Only buy 200 liters each time, 1*20 lítra brúsar",18,395,23,500,17,410
97,2250,114N4056-1,Washer Nylon  Aux Arm Outbd Le Slats,"The Boeing Comp, Spare Dist Cent",9.0000,144.000000,16.00,8,10.0,EA,BATCH,,,,,,1,2,2,4,6,16
98,2273,140N2022-1,Valve Ay Drain,Boeing Distribution Services INC. (KLX),46.0000,322.000000,7.00,21,10.0,EA,BATCH,,,,,,6,12,9,39,14,78
99,2290,1743705,Filter Waste System Control Cable And Rinse,"The Boeing Comp, Spare Dist Cent",23.0000,7153.000000,311.00,22,10.0,EA,BATCH,,min-max,10.0,20.0,,10,13,7,8,4,9
100,2299,1251,Bulb Spare Bulb Stwg Instl,B/E Aerospace Cons Mng,237.0000,0.000000,0.00,13,100.0,EA,BATCH,,,,,,6,50,8,41,1,20
101,2302,1391-0275,PACKING,Woodward Inc.,4.0000,828.000000,207.00,57,10.0,EA,BATCH,,min-max,2.0,4.0,CFM_LEAP Engine RSPL,2,0,1,2,1,1
102,2337,1355-606,PACKING,"The Boeing Comp, Spare Dist Cent",39.0000,780.000000,20.00,165,10.0,EA,BATCH,,min-max,20.0,40.0,737Max Mótorskipti 13.12.22,17,21,12,17,2,4
103,2384,1606M85P01,Gasket,"Unical Aviation, Inc.",8.0000,80.000000,10.00,2,10.0,EA,BATCH,,min-max,2.0,4.0,,1,1,0,0,0,0
104,2387,16335,Base Discharger Rudder,"Proponent , INC. (Kapco)",7.0000,84.000000,12.00,17,10.0,EA,BATCH,,,,,,16,7,10,10,8,16
105,2392,1381-1176,RETAINER,"The Boeing Comp, Spare Dist Cent",6.0000,636.000000,106.00,151,10.0,EA,BATCH,,min-max,5.0,12.0,,1,2,1,4,1,4
106,2409,16288,Retainer Tip Horizontal Stabi,"Boeing Distribution, Inc (Aviall)",5.0000,80.000000,16.00,10,10.0,EA,BATCH,,,,,,11,9,10,15,2,2
107,2416,1978X,Bulb Spare Bulb Stwg Instl,Boeing Distribution Services INC. (KLX),33.0000,132.000000,4.00,24,10.0,EA,BATCH,,,-100.0,-50.0,,9,23,20,52,10,34
108,2422,122-11124-1A,Shade,"Proponent , INC. (Kapco)",3.0000,500.499990,166.83,27,10.0,EA,BATCH,,,,,,22,135,28,272,13,83
109,2429,149A7661-54,Seal,"The Boeing Comp, Spare Dist Cent",1.0000,150.000000,150.00,20,10.0,EA,BATCH,,min-max,1.0,2.0,,1,1,0,0,0,0
110,2461,149A7661-55,SEAL,Lufthansa Technik AG,1.0000,256.000000,256.00,19,10.0,EA,BATCH,,min-max,1.0,2.0,,1,1,2,0,0,0
111,2500,160N0201-69,Bushing Nose And Main Landing Gear,"The Boeing Comp, Spare Dist Cent",8.0000,4144.000000,518.00,8,10.0,EA,BATCH,,,,,,1,4,4,8,2,4
112,2540,16202-025,Gasket,Safran Cabin (USA),45.0000,675.000000,15.00,32,10.0,EA,BATCH,,,,,,7,23,6,22,4,25
113,2555,1317,Bulb,"The Boeing Comp, Spare Dist Cent",376.0000,376.000000,1.00,15,100.0,EA,BATCH,,,,,,13,79,8,64,7,153
114,2556,1355-1363-612,PACKING,"The Boeing Comp, Spare Dist Cent",22.0000,1298.000000,59.00,83,10.0,EA,BATCH,,min-max,10.0,20.0,737Max Mótorskipti 13.12.22,4,0,8,3,1,1
115,2574,170-202,Insert  Brake Unit,Goodrich Corporation,12.0000,372.000000,31.00,96,10.0,EA,BATCH,,min-max,4.0,8.0,,3,5,2,4,0,0
116,2584,213N1106-1,Gasket Duct  A/C Pack  Cond Air,"The Boeing Comp, Spare Dist Cent",10.0000,510.000000,51.00,19,10.0,EA,BATCH,,,,,C-CHECK 23-24,2,2,10,10,7,11
117,2603,149N6016-36,Seal Main Landing Gear Door,"The Boeing Comp, Spare Dist Cent",11.0000,660.000000,60.00,14,10.0,EA,BATCH,,,,,,2,2,2,7,6,14
118,2604,1500P0247,Indicator-Pressure,Rolls-Royce Aero Repair & Overhaul (UK),1.0000,6346.000000,6346.00,49,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
119,2609,170-204,Insert,Goodrich Corporation,87.0000,3088.500000,35.50,58,10.0,EA,BATCH,,,,,,3,8,3,24,3,24
120,2641,25-1039-21,Lens,"The Boeing Comp, Spare Dist Cent",2.0000,2312.000000,1156.00,27,10.0,EA,BATCH,,,,,,3,3,2,2,3,3
121,2644,2534M54P02,GASKET,CFM International,1.0000,1216.000000,1216.00,20,10.0,EA,BATCH,,min-max,1.0,1.0,CFM_LEAP Engine RSPL,0,0,0,0,0,0
122,2646,2607267,"PACKING, Preformed",B/E Aerospace Cons Mng,24.0000,1224.000000,51.00,35,10.0,EA,BATCH,,min-max,10.0,25.0,,7,7,2,2,0,0
123,2651,140T2423-605,Pane,"The Boeing Comp, Spare Dist Cent",47.0000,3844.600000,81.80,28,10.0,EA,BATCH,,,,,,5,37,0,0,4,11
124,2664,2024T3-071,Aluminum Aluminum Sheet,Future Metals LLC,584.0000,3504.000000,6.00,39,10.0,SF,BATCH,,,,,,9,162,8,198,5,290
125,2701,18241,Filter,Rolls-Royce Aero Repair & Overhaul (UK),2.0000,1121.000000,560.50,22,10.0,EA,BATCH,,,,,,4,4,6,4,6,7
126,2746,149A7661-53,SEAL,"The Boeing Comp, Spare Dist Cent",2.0000,300.000000,150.00,24,10.0,EA,BATCH,,min-max,1.0,2.0,,0,0,0,0,0,0
127,2760,12-1000,CAP - END,"The Boeing Comp, Spare Dist Cent",14.0000,70.000000,5.00,27,10.0,EA,BATCH,,,,,,9,15,5,63,2,25
128,2761,1223-1240,PLUG - DRAIN,Woodward Inc.,5.0000,155.000000,31.00,21,10.0,EA,BATCH,,min-max,5.0,5.0,,0,0,0,0,0,0
129,2782,1519M13P11,CLAMP,Satair A/S,5.0000,50.000000,10.00,20,10.0,EA,BATCH,,min-max,2.0,3.0,,0,0,0,0,0,0
130,2797,2-376S317-60,Packing Ring-O,"The Boeing Comp, Spare Dist Cent",9.0000,218.999970,24.33,11,10.0,EA,BATCH,,,,,,2,4,2,4,4,8
131,2905,2202-1-061-1449,Seat-Belts Pearl Black Color,AmSafe Inc.,62.0000,0.000000,0.00,83,10.0,EA,BATCH,,,,,,2,161,8,4,5,269
132,2935,2024T3-063,Aluminum Aluminum Sheet,Future Metals LLC Europa Division,186.0000,2046.000000,11.00,30,10.0,SF,BATCH,,,,,,16,165,4,22,7,216
133,2951,1743716,Filter,"The Boeing Comp, Spare Dist Cent",4.0000,174.000000,43.50,31,10.0,EA,BATCH,,,,,C-CHECL 23-34,6,5,2,2,2,4
134,2964,235001-3,Spring,Boeing Distribution Services INC. (KLX),20.0000,40.000000,2.00,9,10.0,EA,BATCH,,min-max,10.0,20.0,Req. Gísli Einarss. 01.12.2023. Stock 737 MAX,1,2,1,2,2,0
135,2985,26-306-1,Bushing Main Brake Assy,Goodrich Corporation,5.0000,585.000000,117.00,53,10.0,EA,BATCH,,,,,,2,4,6,8,3,6
136,3012,231-700055-00-3704,Rivet   Boeing Pn Is 231-700055-00-3704,"The Boeing Comp, Spare Dist Cent",293.0000,146.500000,0.50,28,100.0,EA,BATCH,,,,,,4,115,2,37,9,317
137,3028,27620-20629,Cone Bearing,Wencor West,9.0000,207.000000,23.00,23,10.0,EA,BATCH,,,,,,17,30,17,52,15,27
138,3076,287T0011-2,Clamp,B/E Aerospace Cons Mng,492.0000,984.000000,2.00,29,10.0,EA,BATCH,,,,,,5,112,5,11,5,108
139,3085,235014,"Ring  O-Ring  Inw. R23,52 X 1,70  Sil",Satair A/S,70.0000,210.000000,3.00,75,10.0,EA,BATCH,,,,,,4,9,6,16,0,0
140,3092,2024T3-032,Aluminum Aluminum Sheet,Future Metals LLC Europa Division,40.0000,520.000000,13.00,89,10.0,SF,BATCH,,,,,,2,4,2,8,6,17
141,3115,251N4077-4,Gimbal Xmsn  Outbd T.E. Flap *MAT NOTE*,MidAmerican Aerospace,1.0000,1446.500000,1446.50,10,10.0,EA,BATCH,,min-max,1.0,1.0,MAX Boeing RSPL,0,0,6,4,11,9
142,3117,260-747,Housing,Goodrich Corporation,2.0000,430.000000,215.00,51,10.0,EA,BATCH,,,,,,9,41,8,32,4,24
143,3120,2604374,"NUT, Self-locking, hex","Boeing Distribution, Inc (Aviall)",120.0000,6360.000000,53.00,17,10.0,EA,BATCH,,min-max,60.0,100.0,,15,216,9,0,1,12
144,3126,26-395,Bushing - Support Main Brake,Goodrich Corporation,43.0000,387.000000,9.00,36,10.0,EA,BATCH,,,,,,3,21,3,21,1,7
145,3164,26-441,Bushing,Goodrich Corporation,61.0000,3416.000000,56.00,51,10.0,EA,BATCH,,,,,,4,27,3,21,4,9
146,3214,213A6404-1,FILTER,"The Boeing Comp, Spare Dist Cent",2.0000,62.000000,31.00,22,10.0,EA,BATCH,,,,,,51,51,30,32,8,8
147,3226,1476002,Ta-50  1l,Tandur,15.0000,60.000000,4.00,7,10.0,LI,BATCH,,,,,,7,3,9,3,1,1
148,3235,29-90-114-10,TOOLHEAD DRIVER ASSEMBLY,ScanAerotech ApS,4.0000,164.000000,41.00,30,10.0,EA,BATCH,,,,,,9,11,5,8,0,0
149,3236,2-329N674-70,Packing,Wencor West,18.0000,0.000000,0.00,10,100.0,EA,BATCH,,,,,,20,36,17,23,12,20
150,3241,2314M72-1,ARM AY,"Unical Aviation, Inc.",1.0000,725.000000,725.00,18,10.0,EA,BATCH,,min-max,1.0,1.0,,0,0,0,0,0,0
151,3296,261-505-2,Plate   Stator Plate,Goodrich Corporation,15.0000,7065.000000,471.00,88,10.0,EA,BATCH,,min-max,4.0,8.0,,3,5,2,5,0,0
152,3319,182823,Bolt 10-32 Unf For Thermocouple,LEKI Aviation,17.0000,2703.000000,159.00,35,10.0,EA,BATCH,,min-max,12.0,20.0,,0,0,2,2,1,2
153,3334,284T0383-3,SEAL,"The Boeing Comp, Spare Dist Cent",14.0000,952.000000,68.00,11,10.0,EA,BATCH,,,,,,7,12,6,7,8,8
154,3352,31-3675-1,Housing,"The Boeing Comp, Spare Dist Cent",5.0000,990.000000,198.00,30,10.0,EA,BATCH,,,,,,5,5,3,3,0,0
155,3392,2606966,"SEAL, Grease","Boeing Distribution, Inc (Aviall)",12.0000,1284.000000,107.00,47,10.0,EA,BATCH,,min-max,10.0,15.0,,0,0,0,0,0,0
156,3462,28301-12,Mask Ay Emergency Equipment,Safran Aerosystems Services,62.0000,5952.000000,96.00,53,50.0,EA,BATCH,,,100.0,200.0,,103,580,77,527,31,210
157,3478,315295700072,"ARMREST, LONG GLUED",Aviointeriors S.P.A.,99.0000,15147.000000,153.00,186,10.0,EA,BATCH,,,,,,11,58,0,0,1,1
158,3533,2A044-0135,Fairing Fairing-Bogie,"The Boeing Comp, Spare Dist Cent",3.0000,162.000000,54.00,24,10.0,EA,BATCH,,,,,,4,8,3,6,3,4
